테임즈, NC, 0.390, 0.381, 0.497, 0.790, 1.287, 0.520, 11.73
박병호, 넥센, 0.403, 0.343, 0.436, 0.714, 1.150, 0.472, 8.96
박석민, 삼성, 0.354, 0.321, 0.441, 0.551, 0.992, 0.431, 7.05
강민호, 롯데, 0.353, 0.311, 0.421, 0.639, 1.060, 0.444, 7.03
나바로, 삼성, 0.248, 0.287, 0.393, 0.596, 0.989, 0.412, 6.93
유한준, 넥센, 0.380, 0.362, 0.430, 0.579, 1.009, 0.431, 6.90
김현수, 두산, 0.323, 0.326, 0.438, 0.541, 0.979, 0.421, 6.13
양의지, 두산, 0.341, 0.326, 0.405, 0.523, 0.928, 0.399, 5.51
김태균, 한화, 0.346, 0.316, 0.457, 0.539, 0.996, 0.430, 5.30
최형우, 삼성, 0.335, 0.318, 0.402, 0.563, 0.965, 0.408, 5.28
마르테, kt, 0.363, 0.348, 0.414, 0.569, 0.983, 0.414, 5.25
최준석, 롯데, 0.362, 0.306, 0.428, 0.529, 0.957, 0.418, 5.05
아두치*, 롯데, 0.357, 0.314, 0.384, 0.557, 0.941, 0.395, 4.73
박경수, kt, 0.336, 0.284, 0.399, 0.507, 0.906, 0.395, 4.68
나성범, NC, 0.374, 0.326, 0.373, 0.553, 0.926, 0.390, 4.46
이용규, 한화, 0.367, 0.341, 0.428, 0.424, 0.852, 0.383, 4.41
정근우, 한화, 0.347, 0.316, 0.403, 0.466, 0.869, 0.385, 4.41
김하성, 넥센, 0.336, 0.290, 0.362, 0.489, 0.851, 0.365, 4.09
구자욱, 삼성, 0.407, 0.349, 0.417, 0.534, 0.951, 0.411, 3.97
이범호, KIA, 0.280, 0.270, 0.372, 0.519, 0.891, 0.382, 3.68
박민우, NC, 0.373, 0.304, 0.399, 0.404, 0.803, 0.364, 3.52
황재균, 롯데, 0.329, 0.290, 0.350, 0.521, 0.871, 0.369, 3.35
김경언, 한화, 0.404, 0.337, 0.414, 0.525, 0.939, 0.407, 3.34
손아섭, 롯데, 0.378, 0.317, 0.406, 0.472, 0.878, 0.388, 3.34
이승엽, 삼성, 0.343, 0.332, 0.387, 0.562, 0.949, 0.402, 3.30
최정, SK, 0.350, 0.295, 0.401, 0.542, 0.943, 0.404, 3.19
김재호, 두산, 0.331, 0.307, 0.386, 0.402, 0.788, 0.356, 2.93
박용택, LG, 0.350, 0.326, 0.370, 0.503, 0.873, 0.374, 2.91
정훈, 롯데, 0.362, 0.300, 0.382, 0.420, 0.802, 0.358, 2.88
