헥터*, KIA, 0.313, 69.7, 3.40, 8.06, 3.71, 3.70, 6.61
켈리, SK, 0.316, 72.1, 3.68, 7.10, 4.25, 4.18, 5.54
보우덴, 두산, 0.288, 69.7, 3.80, 6.79, 4.24, 4.03, 5.40
소사, LG, 0.355, 63.8, 5.16, 4.05, 4.18, 4.30, 4.77
니퍼트, 두산, 0.289, 79.6, 2.95, 7.50, 4.44, 4.30, 4.43
양현종, KIA, 0.292, 71.5, 3.68, 6.64, 4.75, 4.73, 4.11
레일리, 롯데, 0.330, 69.2, 4.34, 4.86, 4.77, 4.68, 4.01
해커, NC, 0.292, 75.6, 3.46, 5.97, 4.27, 4.09, 4.00
피어밴드, kt, 0.368, 74.8, 4.45, 5.11, 4.81, 4.70, 3.81
스튜어트, NC, 0.328, 69.4, 4.56, 4.55, 4.41, 4.35, 3.80
장원준, 두산, 0.304, 79.5, 3.32, 6.67, 4.76, 4.71, 3.51
신재영, 넥센, 0.308, 75.0, 3.90, 6.08, 4.65, 4.71, 3.42
김광현, SK, 0.307, 72.7, 3.88, 4.40, 4.70, 4.53, 3.19
류제국, LG, 0.305, 71.6, 4.30, 5.30, 4.90, 4.85, 3.08
이재학, NC, 0.344, 73.8, 4.58, 3.44, 5.04, 4.71, 2.90
지크, KIA, 0.357, 65.8, 5.27, 2.82, 4.96, 4.88, 2.87
박세웅, 롯데, 0.357, 64.2, 5.76, 2.34, 4.94, 4.72, 2.80
차우찬, 삼성, 0.336, 70.4, 4.73, 3.89, 5.02, 4.99, 2.70
허프, LG, 0.294, 60.6, 3.13, 2.84, 3.31, 3.29, 2.61
김재윤, kt, 0.401, 67.1, 4.97, 1.49, 3.42, 2.68, 2.55
심창민, 삼성, 0.279, 74.4, 2.97, 3.07, 3.89, 3.52, 2.46
린드블럼, 롯데, 0.323, 71.4, 5.28, 4.09, 5.63, 5.56, 2.44
유희관, 두산, 0.312, 73.8, 4.41, 5.98, 5.27, 5.44, 2.40
정우람, 한화, 0.286, 72.4, 3.33, 3.74, 3.74, 3.34, 2.35
김세현, 넥센, 0.333, 76.9, 2.60, 3.40, 2.94, 2.70, 2.32
밴헤켄, 넥센, 0.266, 76.9, 3.38, 2.92, 4.35, 3.88, 2.24
임창민, NC, 0.333, 83.1, 2.57, 3.38, 3.62, 3.03, 2.11
송은범, 한화, 0.360, 60.6, 6.42, 1.27, 5.09, 5.13, 2.03
김진성, NC, 0.305, 69.7, 4.48, 2.56, 4.37, 3.78, 1.98
원종현, NC, 0.258, 69.3, 3.18, 2.61, 3.30, 2.87, 1.90
윤성환, 삼성, 0.299, 72.9, 4.35, 5.19, 5.55, 5.80, 1.71
우규민, LG, 0.337, 66.3, 4.91, 2.66, 5.34, 5.49, 1.69
임정우, LG, 0.378, 77.8, 3.82, 2.63, 3.86, 3.37, 1.68
밴와트, kt, 0.341, 62.4, 5.95, 1.31, 5.63, 5.68, 1.64
이민호, NC, 0.339, 66.7, 5.51, 2.02, 5.42, 5.40, 1.63
맥그레거, 넥센, 0.330, 66.2, 5.20, 1.91, 5.05, 5.03, 1.55
주권, kt, 0.320, 68.4, 5.10, 2.95, 5.31, 5.57, 1.45
이정민, 롯데, 0.336, 79.5, 3.16, 2.94, 4.22, 4.13, 1.40
정재훈, 두산, 0.292, 72.4, 3.27, 2.41, 3.60, 3.23, 1.33
손승락, 롯데, 0.392, 77.8, 4.26, 2.28, 4.54, 4.32, 1.27
최영필, KIA, 0.384, 77.0, 3.61, 1.39, 3.84, 3.51, 1.25
마리몬, kt, 0.302, 62.8, 5.23, 1.77, 4.66, 4.75, 1.24
세든, SK, 0.325, 50.7, 5.37, 0.20, 4.95, 4.93, 1.21
로위, kt, 0.393, 65.7, 6.30, 0.84, 5.02, 4.74, 1.21
권혁, 한화, 0.318, 71.9, 3.87, 3.47, 4.24, 4.18, 1.19
김상수, 넥센, 0.336, 69.5, 4.62, 2.08, 4.13, 3.81, 1.17
윤희상, SK, 0.319, 73.9, 4.84, 3.22, 5.72, 5.86, 1.17
카스티요, 한화, 0.363, 64.3, 6.43, 1.38, 5.23, 5.35, 1.13
이보근, 넥센, 0.337, 67.5, 4.45, 1.69, 4.15, 4.04, 1.05
박정진, 한화, 0.360, 63.1, 5.57, 0.80, 4.65, 4.32, 1.00
최금강, NC, 0.323, 68.5, 5.00, 2.13, 5.02, 4.98, 0.98
홍건희, KIA, 0.346, 70.2, 4.98, 1.47, 4.72, 4.52, 0.96
채병용, SK, 0.291, 68.5, 4.30, 3.35, 4.70, 4.60, 0.95
윤지웅, LG, 0.336, 57.5, 6.55, 1.47, 4.65, 4.56, 0.94
김주한, SK, 0.315, 72.6, 4.25, 1.84, 4.33, 4.16, 0.87
윤석민, KIA, 0.354, 73.5, 3.19, 1.27, 3.79, 3.70, 0.87
