넥센, 0.343, 0.298, 0.372, 0.486, 0.858, 0.371, 33.10
삼성, 0.337, 0.302, 0.378, 0.469, 0.847, 0.370, 32.79
NC, 0.333, 0.289, 0.367, 0.455, 0.822, 0.359, 26.37
두산, 0.320, 0.290, 0.370, 0.435, 0.805, 0.355, 23.27
롯데, 0.334, 0.280, 0.356, 0.446, 0.802, 0.351, 20.31
한화, 0.328, 0.271, 0.360, 0.404, 0.764, 0.341, 14.31
SK, 0.319, 0.272, 0.349, 0.410, 0.759, 0.337, 11.47
kt, 0.326, 0.273, 0.345, 0.402, 0.747, 0.332, 9.37
LG, 0.321, 0.269, 0.339, 0.399, 0.738, 0.327, 5.68
KIA, 0.298, 0.251, 0.326, 0.392, 0.718, 0.317, 0.95
